id,exact,fuzzy,faithfulness_proxy,citation_present,citation_grounded,consistency,confidence
amb_001,1,1,,0,0,1.0,0.92
amb_002,1,1,,0,0,1.0,0.95
amb_003,1,1,,0,0,1.0,0.9
amb_004,1,1,,0,0,1.0,0.93
amb_005,1,1,,0,0,1.0,0.94
amb_006,1,1,,0,0,1.0,0.95
amb_007,1,1,,0,0,1.0,0.88
amb_008,1,1,,0,0,1.0,0.8
amb_009,1,1,,0,0,1.0,0.9
amb_010,1,1,,0,0,0.4,0.95
amb_011,1,1,,0,0,1.0,0.88
amb_012,1,1,,0,0,1.0,0.88
amb_013,1,1,,0,0,0.6,1.0
amb_014,1,1,,0,0,1.0,0.92
amb_015,1,1,,0,0,1.0,0.9
amb_016,1,1,,0,0,0.6,1.0
amb_017,1,1,,0,0,0.4,0.95
amb_018,0,0,,0,0,1.0,0.9
amb_019,1,1,,0,0,0.6,0.88
amb_020,1,1,,0,0,0.4,1.0
amb_021,1,1,,0,0,1.0,1.0
amb_022,1,1,,0,0,1.0,0.95
amb_023,0,0,,0,0,0.4,0.92
amb_024,0,0,,0,0,1.0,0.98
amb_025,1,1,,0,0,1.0,0.95
