id,exact,fuzzy,faithfulness_proxy,citation_present,citation_grounded,consistency,confidence
rsn_001,0,1,,0,0,1.0,1.0
rsn_002,0,1,,0,0,1.0,1.0
rsn_003,1,1,,0,0,1.0,1.0
rsn_004,0,1,,0,0,1.0,1.0
rsn_005,0,1,,0,0,1.0,1.0
rsn_006,0,0,,0,0,1.0,1.0
rsn_007,0,1,,0,0,1.0,1.0
rsn_008,0,1,,0,0,1.0,1.0
rsn_009,0,0,,0,0,0.6,1.0
rsn_010,0,1,,0,0,1.0,1.0
rsn_011,0,1,,0,0,1.0,1.0
rsn_012,0,1,,0,0,1.0,1.0
rsn_013,0,1,,0,0,1.0,1.0
rsn_014,1,1,,0,0,1.0,1.0
rsn_015,0,1,,0,0,1.0,1.0
rsn_016,0,1,,0,0,1.0,1.0
rsn_017,0,1,,0,0,1.0,1.0
rsn_018,0,1,,0,0,1.0,1.0
rsn_019,1,1,,0,0,1.0,1.0
rsn_020,1,1,,0,0,1.0,1.0
rsn_021,0,1,,0,0,1.0,1.0
rsn_022,0,1,,0,0,1.0,1.0
rsn_023,0,1,,0,0,1.0,1.0
rsn_024,1,1,,0,0,1.0,1.0
rsn_025,0,1,,0,0,1.0,1.0
